SessionID,DeviseID,UserID,Date,Year,TimeStamp,X,Y,Z,Activity
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2281485, -3.0639105, 8.283817, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1910176, -3.0471418, 8.281422, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1766443, -3.1118217, 8.259862, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.155084, -3.0746906, 8.287411, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.188622, -3.0710971, 8.286213, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.210182, -3.0591195, 8.280224, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.180238, -3.1010416, 8.2934, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1766443, -3.0974483, 8.263455, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1754465, -3.1237993, 8.268247, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.188622, -3.072295, 8.277829, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.187424, -3.0866683, 8.294598, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.163469, -3.0818772, 8.282619, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1658645, -3.0854704, 8.265851, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.187424, -3.0734928, 8.26106, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.21138, -3.1393704, 8.232313, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.188622, -3.1776993, 8.251477, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.21138, -3.1178105, 8.292202, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.152689, -3.061515, 8.247885, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.113162, -3.029175, 8.226324, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2497087, -3.1956658, 8.264653, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.279653, -3.0962505, 8.384431, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2089844, -2.9609017, 8.316157, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1658645, -3.2256103, 8.184402, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.145502, -3.243577, 8.156854, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2233577, -3.0902617, 8.16404, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.270071, -3.0004284, 8.255071, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.3143888, -3.0818772, 8.281422, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2173686, -3.0543284, 8.365267, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2185664, -3.2016547, 8.262258, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.173051, -3.4112656, 8.190392, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.1383157, -3.4124634, 8.122118, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.198204, -3.450792, 8.096965, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2521043, -3.2627413, 8.1712265, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.216171, -3.216028, 8.259862, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2257533, -3.1561394, 8.276631, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.258093, -3.174106, 8.2395, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2545, -3.1980615, 8.213149, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2712684, -3.302268, 8.215545, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2868395, -3.231599, 8.199973, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.214973, -3.2375882, 8.1856, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.173051, -3.2148304, 8.17482, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2005997, -3.2447748, 8.184402, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2401266, -3.2579503, 8.225126, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.236533, -3.2663348, 8.186798, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.2401266, -3.2543569, 8.202369, Sitting, 
72-48, RWD9.220429.033.G1, HA, December 7, 2024, 1733595283072, 4.242522, -3.2136326, 8.227522, Sitting, 
